TABL. 23. POWIERZCHNIA, PLONY I ZBIORY BURAKÓW CUKROWYCH;;;;;;
Wyszczególnienie;"Powierzchnia 
w ha";"Plony 
z 1 ha 
w dt";"Zbiory 
w dt";Powierzchnia;Plony;Zbiory
;;;;2020 = 100;;
;O G Ó Ł E M;;;;;
P o l s k a ;250 569;610;152 738 455;102,0;100,2;102,2
Dolnośląskie ;21 062;633;13 324 877;103,9;106,0;110,2
Kujawsko-pomorskie ;55 129;587;32 336 775;103,9;90,6;94,2
Lubelskie ;31 830;542;17 256 550;89,2;100,3;89,5
Lubuskie ;2 446;681;1 666 504;98,9;139,0;137,5
Łódzkie ;5 531;651;3 600 107;101,2;108,5;109,8
Małopolskie ;936;621;581 003;70,1;125,9;88,2
Mazowieckie ;19 713;593;11 685 324;100,0;104,8;104,7
Opolskie ;14 988;716;10 735 554;98,5;106,6;105,0
Podkarpackie ;3 249;607;1 973 374;92,3;108,1;99,8
Podlaskie ;4;830;3320,0;6,7;162,7;10,8
Pomorskie ;10 920;645;7 048 816;108,1;97,2;105,1
Śląskie ;1 551;811;1 258 445;107,6;119,1;128,1
Świętokrzyskie ;2 294;646;1 480 947;96,6;106,6;103,0
Warmińsko-mazurskie ;4 678;609;2 849 863;110,5;114,6;126,6
Wielkopolskie ;59 154;618;36 554 891;106,7;98,8;105,5
Zachodniopomorskie ;17 084;608;10 382 105;111,3;101,5;112,9
