TABL. 18. POWIERZCHNIA, PLONY I ZBIORY KUKURYDZY NA ZIARNO;;;;;;
Wyszczególnienie;"Powierzchnia 
w ha";"Plony 
z 1 ha 
w dt";"Zbiory 
w dt";Powierzchnia;Plony;Zbiory
;;;;2021 = 100;;
;O G Ó Ł E M;;;;;
P o l s k a ;1 196 026;71,1;85 030 927;119,8;95,2;114,0
Dolnośląskie ;103 133;70,0;7 219 836;82,0;89,7;73,6
Kujawsko-pomorskie ;159 336;75,2;11 989 139;117,0;106,5;124,7
Lubelskie ;76 489;70,0;5 356 154;156,7;89,7;140,7
Lubuskie ;27 683;57,7;1 597 059;102,4;83,6;85,6
Łódzkie ;78 881;73,0;5 758 614;143,0;96,1;137,3
Małopolskie ;31 883;72,9;2 323 602;103,2;93,3;96,3
Mazowieckie ;139 587;65,0;9 073 185;131,5;92,9;122,1
Opolskie ;69 815;75,1;5 244 511;116,1;90,3;104,8
Podkarpackie ;51 077;75,4;3 849 393;88,8;80,6;71,5
Podlaskie ;82 907;76,9;6 371 819;204,6;106,2;217,2
Pomorskie ;16 583;60,0;994 795;139,3;91,9;128,0
Śląskie ;31 184;78,6;2 451 998;108,6;96,9;105,3
Świętokrzyskie ;17 930;69,1;1 238 918;159,2;113,7;181,0
Warmińsko-mazurskie ;60 299;77,1;4 651 440;159,5;102,8;164,1
Wielkopolskie ;207 559;68,5;14 217 339;111,6;93,3;104,1
Zachodniopomorskie ;41 683;64,6;2 693 125;120,5;119,2;143,6
