TABL. 22. POWIERZCHNIA, PLONY I ZBIORY ZIEMNIAKÓW a);;;;;;
Wyszczególnienie;"Powierzchnia 
w tys.ha";"Plony 
z 1 ha 
w dt";"Zbiory 
w dt";Powierzchnia;Plony;Zbiory
;;;;2021 = 100;;
;;;;;;
P o l s k a ;196 108;308;60 309 323;83,2;102,7;85,2
Dolnośląskie ;10 858;260;2 824 164;83,4;80,0;66,7
Kujawsko-pomorskie ;15 096;330;4 983 831;85,5;115,8;99,0
Lubelskie ;9 923;324;3 210 587;85,4;93,6;79,9
Lubuskie ;2 469;210;517 841;38,4;83,3;31,9
Łódzkie ;23 361;302;7 063 164;87,5;104,1;91,2
Małopolskie ;15 698;330;5 175 226;103,3;106,5;109,8
Mazowieckie ;20 820;318;6 620 734;81,4;99,1;80,6
Opolskie ;4 854;343;1 664 453;85,2;93,2;79,4
Podkarpackie ;13 816;268;3 705 198;101,3;95,7;97,0
Podlaskie ;5 211;266;1 386 972;39,4;103,1;40,6
Pomorskie ;17 478;320;5 588 916;85,2;125,5;106,8
Śląskie ;4 443;283;1 258 087;63,8;99,3;63,4
Świętokrzyskie ;8 649;321;2 776 213;82,2;95,8;78,8
Warmińsko-mazurskie ;5 241;312;1 634 632;84,9;96,6;82,0
Wielkopolskie ;27 371;315;8 615 565;87,5;101,0;88,3
Zachodniopomorskie ;10 820;303;3 283 740;93,5;102,7;96,2
